,Theme,Company
10,원격진료,"['유비케어', '비트컴퓨터', 'JW중외제약', '테라젠이텍스', 'SK케미칼', '나노엔텍', '인피니트헬스케어', '소프트센', '녹십자홀딩스', '파마리서치프로덕트', '케어랩스', '유비쿼스']"
11,수소경제,"['두산퓨얼셀', '제이엔케이히터', '동아화성']"
12,코로,"['수젠텍', '삼성전자', '오공', '강원', '셀트리온제약', '모나리자', '웰크론', '일양약품', '부광약품', '테라젠이텍스', '레몬', '한진칼', '미코', '고려개발', '코오롱', 'SK증권', '씨젠', '신풍제약', '남선알미늄', '케이엠', '우정바이오', '백광산업', '진원생명과학', '신일제약', '오상자이엘', '안트로젠', '코미팜', '파미셀', '텔콘RF제약', '진매트릭스', '비씨월드제약', 'MH에탄올', '깨끗한나라', '국제약품', '한국알콜', '창해에탄올', '앱클론', '제일약품', '뉴지랩', '대웅제약', '화일약품', '셀리버리', '셀트리온', '지노믹트리', 'EDGC', '랩지노믹스', '바이오니아', '녹십자', '동화약품', 'SK케미칼', 'GS리테일', '엔씨소프트', 'BGF리테일', '신라젠', '피씨엘', '대웅', '마크로젠', '보령제약', '체시스', '서울바이오시스', '톱텍', '메가스터디교육', '대상', '제넥신', '한양증권', '이수화학', '휴젤', '에이치엘비', '셀트리온헬스케어', '메디톡스', '우수AMS', '유니크', '뉴로스', '케이엠더블유', '원익IPS', '코디엠', '파루', '메디앙스', '녹십자엠에스', '케이엠제약', '이글벳', '제일바이오', '맥스로텍', '엘컴텍', '중앙백신', '크린앤사이언스', '씨티씨바이오']"
13,구충제,"['신풍제약', '우성사료', '제일바이오', '진바이오텍', '화일약품', '신라젠', '코오롱티슈진', '알리코제약', '조아제약', '대성미생물', '삼성전자', 'LG전자', '국일제지']"
14,시대,['기아자동차']
15,의료봉사,['써니전자']
16,양돈주,"['이지홀딩스', '선진', '이지바이오']"
17,자동화,"['오공', '웰크론']"
18,SNS,"['카카오', '인포뱅크']"
19,생체인식,"['젬백스링크', '젬백스', '슈프리마', '동운아나텍', '코렌', '해성옵틱스', '드림텍', '에프에스티', '퍼스텍', '드림시큐리티', '멜파스']"
20,낙폭,['넥스트BT']
21,키오스크,"['한네트', '씨아이테크']"
22,대북,"['남광토건', '현대로템', '스페코', '빅텍', '일신석재', '아난티', '대아티아이', '좋은사람들', '한창', '현대엘리베이터', '제룡전기', '신원', '이화전기', '재영솔루텍', '세명전기', '삼륭물산', '웹스', '자연과환경']"
23,PC,['키움증권']
24,줄기세포치료제,['파미셀']
25,기생충,"['바른손이앤에이', '바른손', '지엔코', '큐캐피탈', 'CJ', '신성통상', '모나미', 'KTH', '펄어비스', '디피씨', '카카오', '농심', '셀트리온헬스케어', '케이엠더블유', '호텔신라', '에이치엘비', '덱스터', '휴젤', '메디톡스', '셀트리온제약']"
26,희토류,"['유니온머티리얼', '혜인', '텔레필드', '상보', '노바텍', '에스모', '유니온', '티플랙스', '쎄노텍', '에코마이스터', 'LG상사', 'KC코트렐', '한국내화', 'SK증권', '알테오젠', '쌍방울', '광림', 'EG', '에스맥', '대원화성', '고려시멘트', '포스코엠텍', '태경산업']"
27,대선주자,['모나미']
28,진단키트,"['씨젠', '수젠텍', '피씨엘', '휴마시스', '랩지노믹스', '바이오니아', 'EDGC', '광동제약', '코미팜', '화일약품', 'LG화학', '텔콘RF제약', '바디텍메드', '비씨월드제약', '씨티씨바이오', '엑세스바이오', '신풍제약', '오상자이엘', '일양약품', '부광약품', '파미셀', '셀트리온', '셀트리온제약', '진매트릭스', '중앙백신', '진원생명과학', '녹십자엠에스', 'MH에탄올', '한국알콜', '한양증권', '인트로메딕', '미코', '셀트리온헬스케어', '조이시티', 'SV인베스트먼트', '우노앤컴퍼니', '마크로젠', '파세코']"
29,여행,"['노랑풍선', '하나투어', '롯데관광개발', '참좋은여행', '인터파크', '세중', '유나이티드']"
30,안랩,"['써니전자', '안랩', '다믈멀티미디어', '태원물산', '오픈베이스']"
31,더블매치,['아프리카TV']
32,봉사,"['써니전자', '안랩']"
33,사진,"['써니전자', '안랩']"
34,2차전지,"['천보', '제낙스', '피엔티', '에스씨디', '파세코', 'LG화학', '에코프로비엠', '유에스티', '디에이테크놀로지', '코스모화학', 'SK이노베이션', '두산솔루스', '이노메트리', '피앤이솔루션', '아이티엠반도체', '대보마그네틱', '에이에프더블류', '서원인텍', '파워로직스', '세방전지', '에코프로', '이엔에프테크놀로지', 'SKC', '이랜텍', '포스코케미칼', '엘앤에프', '상신이디피', '한국아트라스비엑스', '삼성증권', '삼성SDI', '동화기업', '씨아이에스', '코윈테크', '신흥에스이씨', '일진머티리얼즈', '코스모신소재', '삼성물산', 'SK하이닉스', '브이원텍', '엠플러스']"
35,방역진단,"['수젠텍', '랩지노믹스']"
36,대북정책,"['SK증권', '코오롱']"
37,비료,"['KG케미칼', '카프로', '우진비앤지', '체시스', '조비', '효성오앤비']"
38,헬스케어,"['피엔티', '에스폴리텍', '씨아이에스', '인터로조', '진원생명과학', '메타바이오메드', '뷰웍스', '바텍', '루트로닉', '오스템임플란트', '인성정보', '디오', '비트컴퓨터', '인바디', '원익', '셀루메드', '인피니트헬스케어', '휴비츠', '유비케어', '바이오니아', '세운메디칼']"
39,해저터널,"['특수건설', '동아지질', '부산산업', 'KT서브마린', '세명전기']"
40,자동차부품,"['효성첨단소재', '재영솔루텍', '아진산업', '캐스텍코리아', '인탑스', '세원', '대원산업', '티피씨글로벌', '대동금속', '동아화성', '대동기어', '일지테크', '화천기계', '우수AMS', '유니테크노', '센트랄모텍', '현대공업', '대우부품']"
41,자율주행차,"['드림텍', '칩스앤미디어', '모바일어플라이언스', '팅크웨어', '라닉스', '코리아에프티', '대성엘텍', '모트렉스', '로스웰']"
42,키즈,"['토박스코리아', '제로투세븐', '오로라', '손오공', '삼성출판사']"
43,LCD장비,"['베셀', '피엔티', '에이아이비트', '명성티엔에스', '포인트엔지니어링', '테크윙', '참엔지니어링', '케이엔제이', '디이엔티', '제우스', '디아이티', '신성이엔지', '상아프론테크', '씨앤지하이테크']"
44,LED,"['유양디앤유', '유테크', '티씨케이', '루미마이크로', '엘컴텍', '아이엘사이언스', '케이엠더블유', '우리이앤엘', '금호에이치티', '에스모', '삼진엘앤디', '서울바이오시스', '큐에스아이', '삼성전자', '루멘스', '서울반도체']"
45,세포치료제,['녹십자랩셀']
46,폭염,['파세코']
47,NAND,"['유진테크', '심텍', '유니테스트', '디엔에프', '테스', '테크윙', '피에스케이', '원익QnC', '피에스케이홀딩스', '케이씨텍', '한솔케미칼', '솔브레인홀딩스']"
48,복원,"['자연과환경', '삼호개발', '우원개발', '코엔텍', '홈센타홀딩스', '코리아에스이', '웹스']"
49,폴더블폰,"['비에이치', 'SKC', '파인테크닉스', '세경하이테크', '파인텍', '유티아이', '테이팩스', '삼성전자', '디케이티', 'KH바텍', '인터플렉스']"
50,조선기자재,"['케이프', '한국정보인증', '카페24', '유니테스트', '오션브릿지', '현진소재', '인화정공', '오리엔탈정공', '삼영엠텍', '삼영이엔씨', '비엠티', '성광벤드', '한라IMS', '태웅', '중앙오션', '하이록코리아', '에스앤더블류', '케이에스피', '대창솔루션', '태광', '조광ILI', '세진중공업', 'STX중공업', '상상인인더스트리', '대양전기공업', '한국카본', 'HSD엔진']"
51,전력설비,"['이화전기', '대원전선', '두산중공업', '한전KPS', '현대일렉트릭', '비츠로테크', '피앤씨테크', '광명전기']"
52,카지노,"['GKL', '세미콘라이트', '토비스', '파라다이스', '코텍', '강원랜드']"
53,태블릿PC,"['알에프세미', '솔루에타', '삼성SDI', '유티아이', '미래나노텍', '유아이디', '아바텍']"
54,조림사업,"['자연과환경', '선창산업', '한익스프레스', '효성오앤비', '대유에이텍', '제이씨케미칼', '성창기업지주', '이건홀딩스']"
55,시스템반도체,"['엘비세미콘', '하나마이크론', '에이디칩스', '어보브반도체', '지니틱스', '에스앤에스텍', '피에스케이', '에이디테크놀로지', 'DB하이텍', '디아이', '라닉스', '네패스', '다믈멀티미디어', '테크윙', 'SFA반도체', '테스', '테스나', '아이에이']"
56,다이오드,"['베셀', '두산솔루스', '영우디에스피', '와이엠씨', '비아트론']"
57,AI,"['에스티큐브', '옵티팜', '일양약품', '큐브앤컴퍼니', '줌인터넷', '싸이맥스', '에이디칩스', '오픈베이스', '큐렉소', '대한뉴팜', '에이프로젠제약', '로보로보', '가온미디어', '서진시스템', '케이엠더블유', '오이솔루션', '제일바이오', 'LG', '라온피플', '네패스', '로보스타', '이오테크닉스', '셀바스AI', '휴림로봇', '엠씨넥스', '삼성SDI', 'LG이노텍', 'SK하이닉스', '고영', '모비스', 'TPC', '디지탈옵틱']"
58,장비,"['유진테크', '디바이스이엔지', '티씨케이', '한미반도체', 'GST', '포인트엔지니어링', '테스', '와이아이케이', '피에스케이', '디아이', '에이아이비트', '엑시콘', '에프에스티', 'SFA반도체', '유니테스트', '코미코', '에이피티씨', '인텍플러스', '오션브릿지', 'SKC', 'KMH', '예선테크', '미코', '지니틱스']"
59,CNT,"['상보', '오픈베이스', '대유플러스', '엑사이엔씨']"
60,회장,"['남선알미늄', '한창']"
61,진단시약,"['씨젠', '수젠텍', '바디텍메드', '피씨엘']"
62,항공기부품,"['켄코아에어로스페이스', '하이즈항공', '이엠코리아', '한화에어로스페이스']"
63,제대혈,"['녹십자', '강스템바이오텍', '메디포스트', '세원셀론텍', '녹십자셀', '녹십자랩셀']"
64,전기차,"['LG화학', '삼기오토모티브', '성문전자', '유에스티', '센트랄모텍', '우리산업', '코스모신소재', '삼성전자', '삼성전기', '삼성SDI', '우리산업홀딩스', 'DB하이텍', '유안타증권']"
65,농업,"['대동공업', '아세아텍', '우진비앤지', '조비', '효성오앤비', 'KPX생명과학']"
66,방위산업,"['한화시스템', '웰크론', 'LIG넥스원', 'STX엔진', 'DMS', '한화', '풍산', '빅텍', '퍼스텍', '삼영이엔씨', '한국항공우주', '미래아이앤지', '한화에어로스페이스', '포메탈', '스페코']"
67,개성공단,"['인디에프', '재영솔루텍', '신원', '좋은사람들', '현대엘리베이터']"
68,장마,"['대동공업', '코엔텍', '파루', '조비']"
69,편의점,"['이마트', 'BGF리테일', '롯데지주', 'GS리테일']"
70,LCC,"['한진칼', '진에어', '제주항공', '티웨이항공', '아시아나항공', '에어부산', '티웨이홀딩스', '대한항공']"
71,조선,"['대우조선해양', '현대미포조선', '삼성중공업', '한국조선해양', '동국제강']"
72,처리장치,"['엔케이', '이엠코리아', '한국조선해양', '윌링스', 'STX엔진']"
73,펜벤다졸,"['신풍제약', '조아제약', '제일바이오', '알리코제약', '명문제약', '화일약품', '진바이오텍', 'SCI평가정보']"
74,신공항,"['경방', '한진', '동방선기', '영화금속', '한국선재']"
75,NFC,"['에이텍티앤', '빅텍', '에이스테크', '파트론', '한국정보통신', '유비벨록스', '코나아이', '나이스정보통신']"
76,줄기세포,"['코아스템', '에이치엘비', '네이처셀', '바이온', '프로스테믹스', '동구바이오제약', '조아제약', '우리들휴브레인', '테고사이언스', '에이치엘비생명과학', '세원셀론텍', '제일약품', '부광약품', 'SK바이오랜드', 'SK']"
77,엔터테인먼트,"['이에스에이', '바른손', '에스엠', 'CJ', '와이지엔터테인먼트', '큐로홀딩스', '아리온', '소리바다', 'SBS콘텐츠허브', '지니뮤직', '키이스트', '팬엔터테인먼트', '초록뱀', '큐브엔터', '제이콘텐트리', '에프엔씨엔터', 'NHN벅스']"
