,title,contents
363,"금융위-금감원, 신종코로나 테마주·악성루머 대응 강화",금융위원회·금융감독원은 신종 코로나바이러스 확산으로 주식시장에 기승을 부리는 테마주와 악성 루머에... 지난달 20일부터 지난 5일까지 신종 코로나바이러스 테마주 30종목의 주가등락률은 +57.22%다. 같은 기간 시장의...
364,"동학개미운동, 이렇게 하면 성공할수 있다",전문가들은 동학개미운동이 성공하기 위해선 테마주에 대한 무분별한 투자를 기피해야 한다고 조언했다. 또... 테마주에 대한 투자는 기피하는 것이 좋다는 조언도 나온다. 금융당국에 따르면 코로나 테마주 69종목의...
365,"電·車에 올라탔던 동학개미, 바이오·정치테마주로 '환승'","폭락과 회복이 이어진 코로나 장세에서 삼성전자를 사들였던 개인투자자들이 테마주로 옮겨가고 있다. 총선을 앞두고 관심을 받는 정치 테마주, 코로나19 관련 혜택을 볼 것으로 예상되는 바이오주 등이다. 외국계..."
366,"삼성전자 몰려들었던 개미군단, 테마주 돌진에 경고음","찍는 테마주에 혹해 단타 매매에 나섰다가 20% 가까운 손실만 봤다. A씨는 ""다시 초심으로 돌아가겠다고 마음을 다잡아보지만, 주가 회복세가 지속되면서 이미 우량주 가격도 크게 올라 자꾸 테마주로 눈을 돌리게된다..."
367,"우한 폐렴 테마주 꼼짝마!…금융당국, 32개 종목 집중 모니터링","신종 코로나 바이러스 테마주가 급등락을 거듭하고 근거없는 루머가 극성을 부리자 금융감독당국이 합동... 테마주로 언급되는 종목에 대해 대규모 고가 매수를 반복하며 시세를 유인하고, 과도한 허수주문 등을 통해..."
368,오거돈 사퇴에…`부산시장 테마주` 상한가,내년 4월 보궐선거가 치러질 것으로 예상되는 가운데 부산시장 테마주로 동일고무벨트 주가가 오른 셈이다. 김 의원은 작년 11월 자유한국당 해체를 주장하며 21대 총선 불출마를 선언해 주목받은 바 있다. 다만 김 의원의...
369,'신종 코로나' 소문에 급등락...테마주·루머 감시,"특히 이른바 '신종 코로나 테마주'의 등락률이 관심을 끌면서 금융당국도 본격 나섰는데요. 결국 투자자가... 신종 코로나 바이러스 감염증의 테마주로 주목받으면서, 설 연휴를 전후해 주가가 연일 급등한 겁니다...."
370,"금융당국 ""신종코로나 테마주 32개 집중 모니터링…시세조종시 엄단""(종합)","(그래픽=이동훈 기자) 금융당국은 현재 ‘테마주 모니터링 시스템’을 가동 중이다. 테마주의 형성과 소멸, 분류사유 등 정보를 체계적으로 관리하고 테마 형성 이후 현재까지 주가 변동을 일목요연하게 정리해 이상..."
371,'신종 코로나' 소문에 급등락...테마주·루머 감시,"특히 이른바 '신종 코로나 테마주'의 등락률이 관심을 끌면서 금융당국도 본격 나섰는데요. 결국 투자자가... 신종 코로나 바이러스 감염증의 테마주로 주목받으면서, 설 연휴를 전후해 주가가 연일 급등한 겁니다...."
372,"""한국발 입국자 2주 격리"" 日보도에 '반일테마주' 시간외 일제히 급등",반일 테마주들이 장 종료 후 시간외시장에서 일제히 상한가까지 뛰었다. 의류업체인 신성통상(005390)과 주류업체 하이트진로의 모회사 하이트진로홀딩스(000140)가 오후 5시 기준으로 가격제한폭(10%)까지 뛰었고...
373,`코로나19 세컨드웨이브` 현실화…증시 낙폭 속 테마주 급등,시장 변동성 위기에 다시 빨간불이 켜진 가운데 코로나19 테마주가 급등세로 돌아섰다. 재점화되는 코로나19 국면에 테마주로 투자금이 몰리는 형국이다. 넥스트BT는 인수 합병 대상인 티씨엠생명과학의 1560억 규모...
374,"방탄소년단 테마주 주가 초반 약세, 빌보드200 1위 영향 미미",방탄소년단(BTS) 관련주 주가가 장 초반 약세를 보이고 있다. 방탄소년단 새 앨범이 미국 빌보드 1위에 올랐지만 주가에 별다른 영향을 미치지 않고 있다. 디피씨 로고. 2일 오전 11시7분 기준 디피씨 주가는 직전...
375,"'테마주' 대신 '화제주', '펫팸족' 대신 '반려동물 돌봄족'",국립국어원은 11일 '테마주'와 '펫팸족'을 대체할 우리말로 '화제주'와 '반려동물 돌봄족' 사용을 제안했다. 테마주는 증권 시장에 영향을 미치는 상황이 빚어졌을 때 그 상황과 관련된 주식들을 말한다. 펫팸족은...
376,"금융당국, '57%' 뛴 신종코로나 테마주 집중감시","코로나바이러스 테마주에 대해 집중감시에 나섰다. 국민들의 불안감을 이용한 자본시장 불건정행위 우려가 커지고 있다는 판단에서다. 진단·백신주, 세정·방역주, 마스크주 등 주요 테마주를 분류해 모니터링을..."
377,[총선 D-2] 열기는 '후끈' VS 테마주는 '글쎄',"©시사오늘 권희정 기자 총선이 이틀 앞으로 다가왔지만 '총선 테마주'에 대한 관심은 시들해지는... 13일 한국거래소에 따르면, 이번 총선에서 거론되고 있는 소위 '테마주' 42곳은 지난달 26일과 비교해 평균 25.62..."
378,[특징주]안철수 정계복귀 선언에 테마주 동반 '급등',안철수 전 바른미래당 대표의 정계복귀 선언 소식에 관련 테마주들이 동반 급등세다. 2일 오전 10시 2분 현재 써니전자(004770)는 전 거래일 대비 23.1% 상승한 4740원을 기록 중이다. 안랩(053800)은 15%대 급등하고 있고...
379,코로나 테마주 69개 집중감독?금융당국 개미에 연이은 '당부',소위 '코로나 테마주' 69개 종목에 대한 감시를 강화하기로 했다. 아울러 개인 투자자에게 신중한 접근이... 10일 금융감독원은 코로나19 테마주 중심으로 매수세가 유입되며 주가가 급등락하는 등 변동성이 확대되는...
380,"‘코로나 테마주’ 셀트리온제약, 치료제 개발기대에 상한가",개발 계획 발표…원주 사업장 운영 코로나19 치료제 개발 소식에 원주에 연고를 둔 셀트리온제약의 주가가 크게 오르는 등 변동성이 커진 주식시장에서 강원 연고의 바이오 기업들이 강세를 보이고 있다. 24일 코스닥...
381,"""라임 사태 막자"" 금감원, 고위험 상품·총선테마주 집중점검","총선 테마주 등에 대한 기획조사를 실시한다. 12일 금감원은 2020년도 업무계획에서 올해 금융감독의 기본... 특사경 수사역량을 강화해 총선 테마주를 집중 조사하고, 지난해 마련한 '무자본 M&amp;A 전담조사기구'를 통해서는..."
382,[토요워치]혹했다 훅가는···두얼굴의 테마주,"마스크 테마주로 부각되며 주가가 롤러코스터를 탔다. 몇 년간 3,000~4,000원 수준에 머물던 A사의 주가는... 장 전반에 공포가 퍼진 가운데 투자의 정석처럼 여겨지는 가치투자는 오간 데 없고 A사 같은 테마주만이 시장을..."
383,'대구 의료 자원봉사' 안철수 테마주 상승…안랩 5% 강세,"앞서 써니전자와 다믈멀티미디어는 ""안 대표와 업무상 아무런 관련이 없다""고 공시한 바 있음에도 전직 임원이 안랩 출신이라는 이유로 줄곧 안철수 테마주로 분류되고 있다. 의사인 안 대표는 지난 1일 부인 김미경..."
384,"금감원, 총선 정치테마주·경영진 부정거래 집중 조사","금융감독원은 올해 국회의원 총선거(총선) 정치테마주와 상장사 경영진의 시장규율 침해행위에 대해... 금감원은 ""테마주 모니터링 시스템을 활용해 사회관계망서비스(SNS), 블로그, 커뮤니티 등을 통한 풍문 유포..."
385,"'방탄소년단 테마주' 대체로 올라, 엔터테인먼트3사는 모두 떨어져",'방탄소년단 테마주'로 묶이는 회사들 주가가 대체로 올랐다. 11일 넷마블 주가는 직전 거래일보다 2.25%(2200원) 상승한 10만 원에 장을 끝냈다. 넷마블은 빅히트엔터테인먼트의 2대 주주로 방탄소년단 지식재산을...
386,코로나 테마주 '롤러코스터' 주의보,치료신약 개발 소식만으로 주가 급등락 마스크 생산 안하는 '오공' 테마주로 엮여 코로나19 사태 확산을 틈타 기승하는 테마주와 악성 루머에 대한 주의보가 발동됐다. 테마주는 작전세력이 개입해 주가를 조작할...
387,[특징주] '총선 D-1'…이낙연 테마주 남선알미늄 상승세,21대 국회의원 선거를 하루 앞둔 14일 이낙연 상임공동선대위원장(서울 종로구 국회의원 후보) 테마주로... 후보의 친동생 이계연씨라는 이유에 '이낙연 테마주'로 불린다. 이계연씨는 지난해 11월 대표직에서 사임했다.
388,뚜껑 열린 '한국판 뉴딜'...테마株 상승 지속될까?,"""정책 테마주부터 포스트 코로나까지 대비 해야"" 정부가 발표한 '한국판 뉴딜' 정책으로 5G(5세대) 이동통신, 데이터, AI(인공지능) 등과 관련된 테마주가 시장 내 급부상하고 있다. 시장에서는 향후 수혜주들이 얼마나..."
389,"금융委, 신종 코로나 테마주 감시 강화한다",▲ 2015년 메르스 사태 당시 테마주로 알려진 B사의 급등락 추이[환경미디어= 김명화 기자] 금융당국이 신종 코로나바이러스 감염증 확산을 계기로 주식시장에서 기승을 부리고 있는 테마주에 대한 모니터링을 강화하고...
390,"거래소, 코로나19·총선 테마주 시장혼란 사전차단","코로나19 관련주 40여개 종목 집중 관리 한국거래소가 코로나19 관련 종목과 21대 총선 정치 테마주 등에 대한... 또한 21대 총선 정치 테마주에 대한 기획감시, 공매도 및 사회적 이슈에 대해서도 신속하게 대응하고..."
391,"신종 코로나 테마주, 대부분 하락세…금융당국, 주의 당부",신종코로나 바이러스로 인해 관련 테마주의 변동폭이 심화됨에 따라 금융 당국이 우려를 당부하고 나섰다. 이에 12일 관련 테마주들이 하락세를 보이고 있다. 지난 11일 금융위원회 신종 코로나바이러스 관련 테마주 및...
392,"삼성 건축자재 테마주 ETN, +1.81% 상승폭 확대","삼성 건축자재 테마주 ETN이 상승폭을 확대하고 있다. 전일 대비 1.81% 상승한 2,820원에 거래되고 있다. 삼성 건축자재 테마주 ETN의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인, 기관..."
393,안철수 정계 복귀 선언에 관련 테마주 '들썩',"바른미래당 안철수 전 의원이 2일 페이스북 게시글을 통해 국내 정계 복귀를 밝혀, 이른바 '안철수 테마주'의 주가가 상승 흐름을 보이고 있다. 먼저 대표적인 '안철수 테마주'로 꼽히는 종목은 안랩과 써니전자이다...."
394,"테마주는 '화제주', 펫팸족은 '반려동물 돌봄족'으로",국립국어원 새말모임 대체어 선정 문화체육관광부와 국립국어원이 '테마주'와 '펫팸족'을 대체할 쉬운 우리말로 '화제주'와 '반려동물 돌봄족'을 선정했다고 11일 밝혔다. '테마주'는 증권시장에 영향을 주는 큰 사건과...
