,Theme,Company
53,엔터테인먼트,"['이에스에이', '바른손', '에스엠', 'CJ', '와이지엔터테인먼트', '큐로홀딩스', '아리온', '소리바다', 'SBS콘텐츠허브', '지니뮤직', '키이스트', '팬엔터테인먼트', '초록뱀', '큐브엔터', '제이콘텐트리', '에프엔씨엔터', 'NHN벅스']"
54,면역항암제,"['에이비엘바이오', '녹십자랩셀', '앱클론', '크리스탈', '이수앱지스', '셀리드', '메드팩토', '티움바이오', '큐리언트', '인콘', '에스티큐브', '유틸렉스', '엔케이맥스', '한올바이오파마']"
55,평화공원,"['자연과환경', '코리아에스이', '웰크론', '크라운해태홀딩스', '삼륭물산', '퍼스텍']"
56,창투사,"['큐캐피탈', '컴퍼니케이', '나우IB', '대성창투', 'DSC인베스트먼트', '우리기술투자', 'TS인베스트먼트', '에이티넘인베스트', '미래에셋벤처투자', 'SV인베스트먼트']"
57,면역세포치료제,"['신라젠', '제넥신', '녹십자셀']"
58,VR,"['바른손이앤에이', '덱스터', '바른손', '위지윅스튜디오', '솔트웍스', '주연테크']"
59,테마파크,"['한국종합기술', '시공테크', '현대건설', '국보디자인', '이월드']"
60,취업,"['메가엠디', '에스코넥', 'TS인베스트먼트', '윌비스', 'DSC인베스트먼트']"
61,,
62,건설사,"['일성건설', '까뮤이앤씨', '삼부토건']"
63,지진,"['한국종합기술', '유엔젤', '이엑스티', '한창']"
64,가스터빈,"['삼기오토모티브', '효성첨단소재', '평화홀딩스', '미코', '국일제지', '세원', '일진다이아', '동아화성', '에코바이오', '일지테크', '대원강업', '디케이락', '에스에너지']"
65,수소차,"['성창오토텍', '모토닉', '효성중공업', '우리산업', '동양피스톤', '대우부품', '코오롱머티리얼', '평화산업', '한온시스템', '지엠비코리아', '두산퓨얼셀', '세종공업', '영화테크', '에코바이오', '뉴로스', '평화홀딩스', '일진다이아', '제이엔케이히터', '에스퓨얼셀', '우수AMS', '삼보모터스', '풍국주정', '디케이락', '동아화성', '유라테크', '삼성SDI', '인지컨트롤스', '미코', '이엠코리아', '효성첨단소재', '글로벌에스엠', '유니크']"
66,제약업체,"['대원제약', '신풍제약', '대한뉴팜', '종근당', '녹십자웰빙', '제일약품', '일양약품', '동화약품', '대웅제약', '진양제약', '국제약품', '고려제약', '셀트리온제약', '알리코제약', '코오롱생명과학', '신신제약', '유한양행']"
67,ESS,"['상아프론테크', '피엔티', '삼화전기', '엠플러스', '에이치엘비파워', '씨아이에스', '윌링스', '신성이엔지']"
68,노인복지,"['대원제약', '인성정보', '씨유메디칼', '오스코텍', '엔지켐생명과학', '아이센스']"
69,금융자동화기기,"['케이씨티', '로지시스']"
70,스마트그리드,"['누리텔레콤', '코콤', '비츠로셀']"
71,테러,"['한화', '평화산업', '퍼스텍', '한일단조', '스페코', '국영지앤엠', '혜인', '솔트웍스', '에이스테크', '이엠코리아', '아이쓰리시스템', '포메탈', '기산텔레콤']"
72,보툴리눔톡신,"['휴젤', '제테마', '대웅제약', '디에스케이', '메디톡스', '휴온스', '파마리서치프로덕트', '휴온스글로벌']"
73,아이폰,"['프로텍', '덕우전자', '에스맥', '덕산네오룩스', '넥스턴', '와이엠티', '실리콘웍스', '이녹스첨단소재']"
74,슈퍼박테리아,"['레고켐바이오', '파루', '씨젠', '큐로컴', '인트론바이오', '크리스탈']"
75,,
76,육계,"['이지홀딩스', '마니커에프앤지', '이지바이오', '푸드나무', '하림', '체리부로', '동우팜투테이블', '팜스토리', '마니커']"
77,,
78,스마트팩토리,"['카페24', 'KG모빌리언스', '라온시큐어', '소프트센', '시스웍', '이엑스티', '메가엠디', '레이언스', 'LG전자']"
79,온라인광고,"['퓨쳐스트림네트웍스', '지어소프트', '우리손에프앤지', '마이크로디지탈', '랩지노믹스']"
80,재택근무,"['인트로메딕', '알서포트', '이씨에스', '링네트']"
81,소셜네트워크서비스,"['젬백스링크', '가비아', '이루온', 'NHN벅스', '갤럭시아컴즈']"
82,바이오의약품,"['이수앱지스', '대웅제약', '한미약품', '알테오젠', '셀트리온']"
83,임플란트,"['오스테오닉', 'SK바이오랜드', '오스템임플란트', '나이벡', '레이', '덴티움', '바텍', '오스코텍']"
84,자전거,"['빅텍', '엔에스엔', '극동유화', '삼천리자전거', '로보로보']"
85,AR,"['이랜텍', '나노캠텍', '나무가', '드래곤플라이', '심텍', '팅크웨어', '위지윅스튜디오', '아이엠', '대덕전자', '이수페타시스', '하이비젼시스템', '이에스브이']"
86,수산,"['한성기업', 'CJ씨푸드', '사조씨푸드', '동원산업', '신라에스지', '사조산업', '동원수산', '사조오양', '사조대림', '신라교역']"
87,석유,"['극동유화', '흥구석유', 'SH에너지화학', '중앙에너비스', '배럴', '모토닉', 'SKC', '태광산업', '한진중공업', 'GS', 'SK이노베이션', 'KPX케미칼', '에쎈테크', '대우조선해양', '현대미포조선', 'SK가스']"
88,국가보안법,"['유니온머티리얼', '티플랙스']"
89,그래핀,"['대유에이피', '오리엔트정공', '상보', '액션스퀘어', '덕양산업', '경인양행', '아난티', '국일제지', '쎄미시스코', '대창', '나노', '휴젤', '인포마크', '럭슬', '크리스탈신소재', '엘엠에스', '덕산하이메탈', '엑사이엔씨', '이트론']"
90,,
91,혈장치료,"['시노펙스', '한국유니온제약', '팬젠', '녹십자랩셀', '레몬', '에스맥', '삼성전자', '일신바이오', '바이오톡스텍', '필로시스헬스케어']"
92,손소독제,"['MH에탄올', '국제약품', '진원생명과학', '창해에탄올', '유안타증권', '씨젠', '파루', '한국알콜', '깨끗한나라', '랩지노믹스', '백광산업', '수젠텍']"
93,GV80,"['만도', '현대공업']"
94,타이어,"['골든센츄리', '동아타이어', '넥센타이어', '디티알오토모티브', '넥센', '한국테크놀로지그룹', '금호타이어']"
95,휴대폰부품,"['캠시스', '파인테크닉스', '세코닉스', '디에이피']"
96,엔젤산업,"['제로투세븐', '모나미', '메디앙스', '웅진씽크빅', '캐리소프트']"
97,영화,"['바른손', '쎄니트', '바른손이앤에이', '쇼박스', '세기상사', '덱스터']"
98,출산장려정책,"['제로투세븐', '락앤락', '깨끗한나라', '메디앙스', '캐리소프트', '토박스코리아', '웅진씽크빅', '삼성출판사']"
99,,
100,차량용블랙박스,"['모바일어플라이언스', '엠씨넥스', '제이씨현시스템', '시너지이노베이션', '앤씨앤']"
101,,
