,Theme,Company
0,방탄소년단,"['키이스트', '넷마블', '디피씨', 'SK텔레콤', '드림어스컴퍼니', '경남제약', '손오공', '남성', '소리바다', '브이티지엠피', '카카오', '한화시스템', '엘비세미콘', '초록뱀']"
1,5G,"['에이스테크', '신한', '지니언스', '프로텍', '기가레인', '체시스', '클래시스', '삼성증권', '이노와이어리스', '케이엠더블유', '에프알텍', '서진시스템', '오이솔루션', '대한광통신', '위메이드', '씨에스베어링', '화진', '부광약품', '씨젠', '유비쿼스', '유안타증권', 'RFHIC', 'NHN한국사이버결제', '쏠리드', '삼성전자', '전파기지국', '매일유업', 'SK증권', '알에프텍']"
2,보톡스,"['제테마', '휴젤', '메디톡스', '휴온스글로벌', '대웅제약']"
3,황우석,"['홈캐스트', 'W홀딩컴퍼니', 'DB']"
4,마스크,"['수젠텍', '레몬', '케이엠', '오공', '모나리자', '깨끗한나라', '웰크론', '쌍방울', '국제약품', '한송네오텍', '파루', '에스디생명공학', '락앤락', '케이피엠테크', '한국알콜', 'MH에탄올', '나노캠텍', '씨젠', '톱텍', '한글과컴퓨터', '진원생명과학', '우정바이오', '제일바이오', '고려제약', 'SKC', '고려아연', '케이엠제약', '휴비스', '서린바이오', '조아제약', '메디앙스', '바디텍메드', '위닉스', '남성']"
5,원격진료,"['유비케어', '비트컴퓨터', 'JW중외제약', '테라젠이텍스', 'SK케미칼', '나노엔텍', '인피니트헬스케어', '소프트센', '녹십자홀딩스', '파마리서치프로덕트', '케어랩스', '유비쿼스']"
6,수소경제,"['두산퓨얼셀', '제이엔케이히터', '동아화성']"
7,구충제,"['신풍제약', '우성사료', '제일바이오', '진바이오텍', '화일약품', '신라젠', '코오롱티슈진', '알리코제약', '조아제약', '대성미생물', '삼성전자', 'LG전자', '국일제지']"
8,양돈주,"['이지홀딩스', '선진', '이지바이오']"
9,자동화,"['오공', '웰크론']"
10,SNS,"['카카오', '인포뱅크']"
11,생체인식,"['젬백스링크', '젬백스', '슈프리마', '동운아나텍', '코렌', '해성옵틱스', '드림텍', '에프에스티', '퍼스텍', '드림시큐리티', '멜파스']"
12,키오스크,"['한네트', '씨아이테크']"
13,대북,"['남광토건', '현대로템', '스페코', '빅텍', '일신석재', '아난티', '대아티아이', '좋은사람들', '한창', '현대엘리베이터', '제룡전기', '신원', '이화전기', '재영솔루텍', '세명전기', '삼륭물산', '웹스', '자연과환경']"
14,PC,['키움증권']
15,줄기세포치료제,['파미셀']
16,기생충,"['바른손이앤에이', '바른손', '지엔코', '큐캐피탈', 'CJ', '신성통상', '모나미', 'KTH', '펄어비스', '디피씨', '카카오', '농심', '셀트리온헬스케어', '케이엠더블유', '호텔신라', '에이치엘비', '덱스터', '휴젤', '메디톡스', '셀트리온제약']"
17,희토류,"['유니온머티리얼', '혜인', '텔레필드', '상보', '노바텍', '에스모', '유니온', '티플랙스', '쎄노텍', '에코마이스터', 'LG상사', 'KC코트렐', '한국내화', 'SK증권', '알테오젠', '쌍방울', '광림', 'EG', '에스맥', '대원화성', '고려시멘트', '포스코엠텍', '태경산업']"
